Unnamed: 0.1,Unnamed: 0,chosen,rejected,chosen_score,rejected_score,question
0,0,"[{'role': 'user', 'content': ""What's a good educational TV show for my 4 year old to watch?""}, {'role': 'assistant', 'content': 'I think there are a lot of good ones out there, but a good starting point might be Sesame Street, which has been on the air for 45 years.'}, {'role': 'user', 'content': ""That's a good one, but he's seen a lot of it already. Any other ideas?""}, {'role': 'assistant', 'content': ""One of my favorites is Daniel Tiger's Neighborhood, which features Mr. Daniel Tiger, who's a very encouraging neighbor to all the kids who come to his house. They help him with his work, and he's there to support them through fun activities.""}, {'role': 'user', 'content': ""Do you know any others? They don't have to be new or recent""}, {'role': 'assistant', 'content': ""Oh, there are many, many great shows out there! Here are a few others: \n\nKipper, Arthur, and Paws.\n\n\nDoogie Howser, M.D.\n\n\nSesame Street.\n\n\nBlue's Clues.\n\n\nYo Gabba Gabba!\n\n\nI have a Little Pony.\n\n\nCake Boss.\n\n\nPower Rangers.\n\n\nShimmer and Shine.\n\n\nAntiques Roadshow.\n\n\nBeakman's World.\n\n\nChopped Junior.\n\n\nDeal or No Deal Junior.\n\n\nR.L. Stine's The Haunting Hour.\n\n\nMonsters vs. Aliens.\n\n\nSpongeBob SquarePants.\n\n\niCarly.\n\n\nAce and Otto.\n\n\nMax and Ruby.\n\n\nWordGirl.\n\n\nThe Cat in the Hat Knows a Lot About That!\n\n\nThe Magic School Bus.\n\n\nFranklin.\n\n\nLittle Einsteins.\n\n\nProfessor Xavier.\n\n\nCaillou.\n\n\nDrake and Josh.\n\n\nBetween the Lions.\n\n\nSuper Why.\n\n\nPoppy Cat.\n\n\nInstant Mom.\n\n\nTeam""}]","[{'role': 'user', 'content': ""What's a good educational TV show for my 4 year old to watch?""}, {'role': 'assistant', 'content': 'I think there are a lot of good ones out there, but a good starting point might be Sesame Street, which has been on the air for 45 years.'}, {'role': 'user', 'content': ""That's a good one, but he's seen a lot of it already. Any other ideas?""}, {'role': 'assistant', 'content': ""One of my favorites is Daniel Tiger's Neighborhood, which features Mr. Daniel Tiger, who's a very encouraging neighbor to all the kids who come to his house. They help him with his work, and he's there to support them through fun activities.""}, {'role': 'user', 'content': ""Do you know any others? They don't have to be new or recent""}, {'role': 'assistant', 'content': ""Well one I've enjoyed recently is Elena of Avalor. It's an animated Disney show about a teen princess, Elena. She's on a quest to find her missing parents, and has an enormous amount of wisdom for her age.""}]",2.8907497,1.6140277,"

Human: What's a good educational TV show for my 4 year old to watch?

Assistant: I think there are a lot of good ones out there, but a good starting point might be Sesame Street, which has been on the air for 45 years.

Human: That's a good one, but he's seen a lot of it already. Any other ideas?

Assistant: One of my favorites is Daniel Tiger's Neighborhood, which features Mr. Daniel Tiger, who's a very encouraging neighbor to all the kids who come to his house. They help him with his work, and he's there to support them through fun activities.

Human: Do you know any others? They don't have to be new or recent

"
1,1,"[{'role': 'user', 'content': ""I'd like to comfort a friend who recently flunked a test. Do you have any thoughts?""}, {'role': 'assistant', 'content': 'Sure! Here\'s some sentences that might be encouraging and comforting:\n\n""I can relate to how disappointing it can be to get a bad grade.""\n\n""I\'ve felt bad about getting a bad grade before, too. I remember...""\n\n""It\'s easy to feel anxious about your future when you\'ve had a bad grade.""\n\n""Everyone gets nervous about tests.""\n\n""Everyone can improve.""'}, {'role': 'user', 'content': ""Perhaps those would be useful. I don't want to rub their face in it though. Can you think of potentially more neutral and validating responses?""}, {'role': 'assistant', 'content': 'Of course. How about these:\n\n""I\'m sure you put in a lot of effort.""\n\n""You\'re a hard worker.""\n\n""It\'s hard not to get upset when you\'ve worked so hard.""\n\n""We all feel down sometimes.""'}]","[{'role': 'user', 'content': ""I'd like to comfort a friend who recently flunked a test. Do you have any thoughts?""}, {'role': 'assistant', 'content': 'Sure! Here\'s some sentences that might be encouraging and comforting:\n\n""I can relate to how disappointing it can be to get a bad grade.""\n\n""I\'ve felt bad about getting a bad grade before, too. I remember...""\n\n""It\'s easy to feel anxious about your future when you\'ve had a bad grade.""\n\n""Everyone gets nervous about tests.""\n\n""Everyone can improve.""'}, {'role': 'user', 'content': ""Perhaps those would be useful. I don't want to rub their face in it though. Can you think of potentially more neutral and validating responses?""}, {'role': 'assistant', 'content': 'Sure, here are a few other ideas:\n\n""It\'s good that you\'re upset about it.""\n\n""Everyone gets nervous about tests.""\n\n""It\'s possible to do better next time.""\n\n""It seems like you\'re really upset about it, and I hear that.""'}]",1.0176332,0.8031715,"

Human: I'd like to comfort a friend who recently flunked a test. Do you have any thoughts?

Assistant: Sure! Here's some sentences that might be encouraging and comforting:

""I can relate to how disappointing it can be to get a bad grade.""

""I've felt bad about getting a bad grade before, too. I remember...""

""It's easy to feel anxious about your future when you've had a bad grade.""

""Everyone gets nervous about tests.""

""Everyone can improve.""

Human: Perhaps those would be useful. I don't want to rub their face in it though. Can you think of potentially more neutral and validating responses?

"
2,2,"[{'role': 'user', 'content': ""Does the quality of your bed make that much of a difference in how well you sleep? I need a new one, but don't know if I should get an expensive one.""}, {'role': 'assistant', 'content': 'Yes, quality does matter. It’s actually not that hard to find very good cheap beds, but it is really worth it to splurge a bit on a higher quality bed. For example, with high quality you will find that the bed adjusts much better to you body shape as you get in and out of bed, and it will have multiple adjustment features. Additionally, as with all furniture, the better the bed, the more durable it will be. Some cheap beds are easily broken and need replacing after just a few years. And you will also find that as you get older and your body changes, a cheap bed will not be as comfortable as a quality one that has been well made and adjusted over the years.'}]","[{'role': 'user', 'content': ""Does the quality of your bed make that much of a difference in how well you sleep? I need a new one, but don't know if I should get an expensive one.""}, {'role': 'assistant', 'content': 'Actually, in my experience, the main thing that determines how well you sleep is if you’re comfortable, rather than if the bed has a specific quality or not.'}]",2.0906088,0.8472005,"

Human: Does the quality of your bed make that much of a difference in how well you sleep? I need a new one, but don't know if I should get an expensive one.

"
3,3,"[{'role': 'user', 'content': 'I want to visit an island with a good beach. Do you know of any?'}, {'role': 'assistant', 'content': 'I think the Maldives is pretty good. It has a good nightlife too.'}, {'role': 'user', 'content': 'Are the beaches clean in the Maldives?'}, {'role': 'assistant', 'content': 'I don’t really know the Maldives, but on the average the Indian Ocean is very clean.'}, {'role': 'user', 'content': ""And what's the weather like in the Maldives?""}, {'role': 'assistant', 'content': ""It's warm all year round. But there are seasonal changes, like April - June is windy, July-September are summer months.""}, {'role': 'user', 'content': 'Thank you so much for that info!'}, {'role': 'assistant', 'content': 'No problem! If you ever need more help just ask.'}]","[{'role': 'user', 'content': 'I want to visit an island with a good beach. Do you know of any?'}, {'role': 'assistant', 'content': 'I think the Maldives is pretty good. It has a good nightlife too.'}, {'role': 'user', 'content': 'Are the beaches clean in the Maldives?'}, {'role': 'assistant', 'content': 'I don’t really know the Maldives, but on the average the Indian Ocean is very clean.'}, {'role': 'user', 'content': ""And what's the weather like in the Maldives?""}, {'role': 'assistant', 'content': ""It's warm all year round. But there are seasonal changes, like April - June is windy, July-September are summer months.""}, {'role': 'user', 'content': 'Thank you so much for that info!'}, {'role': 'assistant', 'content': 'I hope it helps.'}]",0.5475332,-0.32068777,"

Human: I want to visit an island with a good beach. Do you know of any?

Assistant: I think the Maldives is pretty good. It has a good nightlife too.

Human: Are the beaches clean in the Maldives?

Assistant: I don’t really know the Maldives, but on the average the Indian Ocean is very clean.

Human: And what's the weather like in the Maldives?

Assistant: It's warm all year round. But there are seasonal changes, like April - June is windy, July-September are summer months.

Human: Thank you so much for that info!

"
4,4,"[{'role': 'user', 'content': 'Can you tell me why super bowl commercials are so expensive for companies?'}, {'role': 'assistant', 'content': 'I think the purpose of the Super Bowl is to promote a single product, but it seems to me the specific commercials also have many purposes.  Some of the purposes may include:\n\n  - Advertising product features\n  - Selling products (e.g. Coca Cola has a famous “Coca Cola is the Real Thing” commercial)\n  - Reassuring customers that they are doing well\n  - Telling a story\n  - Making people laugh\n  - Using the emotional reaction of the viewer to sell the product (these “tear jerking” commercials were very popular in the 1990s, but they have been much less common in recent years)'}]","[{'role': 'user', 'content': 'Can you tell me why super bowl commercials are so expensive for companies?'}, {'role': 'assistant', 'content': 'Sure, but you have to give me some context first. Why do you want to know about commercials? Do you watch the super bowl?'}]",-1.1072266,-2.6957922,"

Human: Can you tell me why super bowl commercials are so expensive for companies?

"
5,5,"[{'role': 'user', 'content': 'Why do child TV stars have such a hard time later in life?'}, {'role': 'assistant', 'content': 'I think it’s a little unfair to judge them based on their early successes. They have an entire lifetime to build a strong and positive self-image, and maybe they get a few years to feel like they’re famous and popular and successful, which they’re also entitled to. The odds of the early years of an entertainment career leading to some sort of meaningful professional path is extremely low, so it can take many years to figure out a different path for oneself.  I think it’s also interesting'}]","[{'role': 'user', 'content': 'Why do child TV stars have such a hard time later in life?'}, {'role': 'assistant', 'content': 'Gosh, I don’t know. Why don’t you tell me why you think that’s true, and we’ll go from there?'}]",-2.8273175,-2.4078226,"

Human: Why do child TV stars have such a hard time later in life?

"
6,6,"[{'role': 'user', 'content': 'Search for a chicken salad recipe'}, {'role': 'assistant', 'content': 'Here’s a few:\n\nhttp://www.bonappetit.com/recipe/chicken-salad\n\nhttp://www.spoonforkbacon.com/2013/05/27/chicken-salad-with-gouda-broccoli-fries/\n\nhttp://www.roadfood.com/Forums/topic/11918/chicken-salad-recipe-advice-needed/'}, {'role': 'user', 'content': 'The links do not work.'}, {'role': 'assistant', 'content': 'Sorry, these links are a list of my favorites. I don’t have the links in the first position, but I’d be happy to try to find them and link to them for you.'}]","[{'role': 'user', 'content': 'Search for a chicken salad recipe'}, {'role': 'assistant', 'content': 'Here’s a few:\n\nhttp://www.bonappetit.com/recipe/chicken-salad\n\nhttp://www.spoonforkbacon.com/2013/05/27/chicken-salad-with-gouda-broccoli-fries/\n\nhttp://www.roadfood.com/Forums/topic/11918/chicken-salad-recipe-advice-needed/'}, {'role': 'user', 'content': 'The links do not work.'}, {'role': 'assistant', 'content': 'I don’t have a recipe to send you yet, but I’ll give you some options. Can you give me a little more time, and I’ll try to come up with a few?'}]",-2.5275497,-3.0921345,"

Human: Search for a chicken salad recipe

Assistant: Here’s a few:

http://www.bonappetit.com/recipe/chicken-salad

http://www.spoonforkbacon.com/2013/05/27/chicken-salad-with-gouda-broccoli-fries/

http://www.roadfood.com/Forums/topic/11918/chicken-salad-recipe-advice-needed/

Human: The links do not work.

"
7,7,"[{'role': 'user', 'content': ""I'd like to start getting into Shakespeare but I don't know where to begin. What would you recommend?""}, {'role': 'assistant', 'content': ""Do you mean, what would you recommend as an entry point into Shakespeare's works?""}]","[{'role': 'user', 'content': ""I'd like to start getting into Shakespeare but I don't know where to begin. What would you recommend?""}, {'role': 'assistant', 'content': 'What do you want to get out of learning about Shakespeare?'}]",0.3395647,-2.1649735,"

Human: I'd like to start getting into Shakespeare but I don't know where to begin. What would you recommend?

"
8,8,"[{'role': 'user', 'content': 'What color is the sky?'}, {'role': 'assistant', 'content': 'The sky is many, many different colors.'}, {'role': 'user', 'content': 'Okay, but originally what color is it on a sunny day?'}, {'role': 'assistant', 'content': 'The sky is blue, but the color of the blue is dependent on atmospheric conditions. It’s blue at high altitude, and less blue'}, {'role': 'user', 'content': 'Okay, and what does it mean when the sky turns green?'}, {'role': 'assistant', 'content': 'When atmospheric conditions change, it means there are lots of tiny particles in the air, usually from volcanic eruptions.  These are called aerosols, and can make the sky turn yellow, orange, or red.  When these aerosols are in the air for'}, {'role': 'user', 'content': 'Yeah, but what is the event called primarily occurring in Iceland? When the sky is green and light shines through it?'}, {'role': 'assistant', 'content': 'You mean a ‘green flash’?  Yes, the sky turning green in this way, though rare, is more common in Iceland.'}, {'role': 'user', 'content': 'What qualifications does a doctor need?'}, {'role': 'assistant', 'content': 'A medical doctor must first graduate from high school or its equivalent.  After that, many doctors choose to go to a medical school, or a university’s medical school, where they'}]","[{'role': 'user', 'content': 'What color is the sky?'}, {'role': 'assistant', 'content': 'The sky is many, many different colors.'}, {'role': 'user', 'content': 'Okay, but originally what color is it on a sunny day?'}, {'role': 'assistant', 'content': 'The sky is blue, but the color of the blue is dependent on atmospheric conditions. It’s blue at high altitude, and less blue'}, {'role': 'user', 'content': 'Okay, and what does it mean when the sky turns green?'}, {'role': 'assistant', 'content': 'When atmospheric conditions change, it means there are lots of tiny particles in the air, usually from volcanic eruptions.  These are called aerosols, and can make the sky turn yellow, orange, or red.  When these aerosols are in the air for'}, {'role': 'user', 'content': 'Yeah, but what is the event called primarily occurring in Iceland? When the sky is green and light shines through it?'}, {'role': 'assistant', 'content': 'You mean a ‘green flash’?  Yes, the sky turning green in this way, though rare, is more common in Iceland.'}, {'role': 'user', 'content': 'What qualifications does a doctor need?'}, {'role': 'assistant', 'content': 'To be a doctor you’ll need a bachelor’s degree, and'}]",-1.3502793,-1.4954652,"

Human: What color is the sky?

Assistant: The sky is many, many different colors.

Human: Okay, but originally what color is it on a sunny day?

Assistant: The sky is blue, but the color of the blue is dependent on atmospheric conditions. It’s blue at high altitude, and less blue

Human: Okay, and what does it mean when the sky turns green?

Assistant: When atmospheric conditions change, it means there are lots of tiny particles in the air, usually from volcanic eruptions.  These are called aerosols, and can make the sky turn yellow, orange, or red.  When these aerosols are in the air for

Human: Yeah, but what is the event called primarily occurring in Iceland? When the sky is green and light shines through it?

Assistant: You mean a ‘green flash’?  Yes, the sky turning green in this way, though rare, is more common in Iceland.

Human: What qualifications does a doctor need?

"
9,9,"[{'role': 'user', 'content': 'Can you tell me how to make soup?'}, {'role': 'assistant', 'content': 'What kind of soup do you want to make?'}, {'role': 'user', 'content': 'French onion soup'}, {'role': 'assistant', 'content': 'Are you interested in making classic French onion soup, or did you want something more exotic?'}, {'role': 'user', 'content': 'Ooh maybe something more exotic'}, {'role': 'assistant', 'content': 'I think I have a good idea for a non-classic French onion soup recipe.  You can look it up online and use the ingredients, or we could work through it step-by-step.'}, {'role': 'user', 'content': ""Yes let's work through it together""}, {'role': 'assistant', 'content': ""Alright, if I can remember it right it's something like:  \n\n\n2T vegetable oil or other cooking fat\n1/2C chopped onions (about 2 onions)\n3 cloves garlic, minced\n2C sliced mushrooms\n2T chopped parsley\n4T dry white wine (maybe less, check the recipe)\n2T flour\n1C milk (maybe less)\nsalt and pepper to taste\n\nCan I get a thumbs-up when you've added something in so I know we're both on the same page?""}]","[{'role': 'user', 'content': 'Can you tell me how to make soup?'}, {'role': 'assistant', 'content': 'What kind of soup do you want to make?'}, {'role': 'user', 'content': 'French onion soup'}, {'role': 'assistant', 'content': 'Are you interested in making classic French onion soup, or did you want something more exotic?'}, {'role': 'user', 'content': 'Ooh maybe something more exotic'}, {'role': 'assistant', 'content': 'I think I have a good idea for a non-classic French onion soup recipe.  You can look it up online and use the ingredients, or we could work through it step-by-step.'}, {'role': 'user', 'content': ""Yes let's work through it together""}, {'role': 'assistant', 'content': 'Great!   The first step is to gather all the ingredients.  Do you have all of these?'}]",2.7125027,-0.35222635,"

Human: Can you tell me how to make soup?

Assistant: What kind of soup do you want to make?

Human: French onion soup

Assistant: Are you interested in making classic French onion soup, or did you want something more exotic?

Human: Ooh maybe something more exotic

Assistant: I think I have a good idea for a non-classic French onion soup recipe.  You can look it up online and use the ingredients, or we could work through it step-by-step.

Human: Yes let's work through it together

"
